source,participant,subj_values,Model,Meaning,Frequency,Task,Condition
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,454237,1,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,463321,0.6363636363636364,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,519471,0,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,532474,1,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,632985,1,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,769293,0,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,783859,0,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,817058,1,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,835778,0.6,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,844618,0.08333333333333333,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,877238,1,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,886890,1,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,893780,0,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond2_subj_means_no_sil_shoon,983513,0,novel_meaning_infreq_prod_model_cond2,novel,infreq,prod,cond2
novel_meaning_infreq_prod_data_cond3_subj_means_no_sil_shoon,23855,0,novel_meaning_infreq_prod_model_cond3,novel,infreq,prod,cond3
novel_meaning_infreq_prod_data_cond3_subj_means_no_sil_shoon,75565,1,novel_meaning_infreq_prod_model_cond3,novel,infreq,prod,cond3
